coin,usd,usd_market_cap,usd_24h_vol,usd_24h_change,inr,eur,date
bitcoin,70440.0,1409005904050.9788,45134912122.88195,-0.2736126579897925,6575058.0,60904.0,2026-03-20
ethereum,2138.56,258107545707.1584,22577989880.206875,-1.9546396256392187,199620.0,1849.07,2026-03-20
tether,0.999932,184170714388.8188,76332494902.07205,-0.0019606699525349367,93.34,0.864574,2026-03-20
